#,mac,name,ipaddress
1;80:ea:96:ab:98:92;None;172.16.61.104
2;00:12:7f:cb:fc:80;None;192.168.17.212
3;34:23:ba:f8:92:4f;None;172.16.50.137
4;44:37:e6:d4:d3:e6;None;172.16.18.234
5;10:41:7f:86:79:ac;None;172.16.50.122
6;c8:a8:23:6a:3a:78;None;172.16.60.83
7;a0:39:f7:88:14:09;None;172.16.54.155
8;c8:a8:23:93:9b:ae;None;172.16.56.2
9;8c:00:6d:07:20:76;None;172.16.61.11
10;18:26:66:13:b0:ec;None;172.16.55.172
11;00:19:99:8c:e4:eb;None;192.168.33.33
12;f0:c1:f1:62:48:bc;None;172.16.62.51
13;00:24:97:aa:7c:c2;None;10.200.3.234
14;b0:e0:3c:73:14:4a;None;172.16.51.57
15;d8:90:e8:ca:cd:07;None;172.16.50.191
16;1c:7b:21:c9:54:50;None;172.16.53.60
17;34:36:3b:c9:76:5a;None;172.16.52.48
18;b8:ee:65:19:8a:0d;None;172.16.61.140
19;48:13:7e:a5:f6:16;None;172.16.58.28
20;bc:3b:af:35:0a:73;None;172.16.62.36
21;b4:b5:2f:8b:b7:da;None;192.168.36.113
22;84:7a:88:09:7d:65;None;172.16.62.218
23;00:24:97:aa:7e:21;None;10.200.6.28
24;00:24:97:aa:86:90;None;10.200.1.68
25;00:24:97:aa:86:91;None;10.200.6.162
26;44:80:eb:7f:e5:c4;None;172.16.60.248
27;00:24:98:7c:af:40;None;192.168.0.93
28;40:0e:85:83:c4:02;None;172.16.54.153
29;f8:cf:c5:68:e3:be;None;172.16.52.160
30;00:24:c4:0b:2e:14;None;10.200.6.194
31;ec:b1:d7:32:af:86;None;192.168.80.175
32;10:30:47:82:a5:36;None;172.16.51.52
33;64:6c:b2:05:48:cf;None;172.16.54.61
34;70:54:d2:20:b9:37;None;192.168.101.160
35;00:13:72:9f:ce:17;None;192.168.50.39
36;a0:e4:53:bb:36:e7;None;172.16.50.44
37;00:11:0a:86:86:c6;lyra.utalca.cl;190.110.100.72
38;18:a9:05:30:e3:9c;None;192.168.90.19
39;fc:19:10:27:79:e0;None;172.16.60.84
40;74:29:af:43:7e:19;None;172.16.49.140
41;90:5f:2e:51:b2:cb;None;172.16.54.49
42;00:12:7f:cb:8b:00;None;192.168.13.211
43;3c:97:0f:42:97:aa;None;172.16.50.180
44;b0:df:3a:d4:a9:85;None;172.16.61.203
45;00:f8:1c:38:41:fb;None;172.16.49.19
46;00:24:97:aa:d0:91;None;10.200.1.96
47;00:02:e3:31:be:93;None;192.168.80.47
48;f0:db:f8:b0:c5:15;None;172.16.56.97
49;a0:39:f7:6f:99:2e;None;172.16.55.181
50;20:64:32:55:ca:9e;None;172.16.5.190
51;28:ed:6a:44:19:92;None;172.16.56.197
52;b8:78:2e:8d:fb:56;None;172.16.55.208
53;fc:e9:98:54:59:64;None;172.16.59.161
54;28:e3:47:d5:17:6f;None;172.16.60.44
55;a8:7c:01:76:a0:35;None;172.16.53.221
56;00:14:85:ac:42:d2;None;172.16.21.108
57;00:16:d4:da:27:76;None;172.16.51.49
58;40:78:6a:e6:eb:82;None;172.16.52.243
59;a0:0b:ba:24:ce:ae;None;172.16.49.33
60;88:c9:d0:cf:97:28;None;172.16.58.87
61;00:23:7d:92:ee:72;None;10.200.1.6
62;00:12:7f:cb:8a:80;None;192.168.13.204
63;00:01:6c:45:b8:ad;None;192.168.102.80
64;64:76:ba:98:e2:4e;None;172.16.56.175
